THE TRUMP ORGANIZATION|5000|37301814|0||56000|74400|0
TOTAL WINE & MORE|26910228|0|0||10900|0|0
EQUITY INVESTMENT CORP|13900500|0|0||0|0|0
LUFCG|6884906|0|0||0|0|0
GOOGLE|3669719|235798|110846||791199|259350|14131
OFM|3142000|0|0||500|0|0
GOLDMAN SACHS|1117111|1553409|5600||747344|1474890|12400
MICROSOFT|1913699|442414|22005||746962|342125|8356
STANFORD UNIVERSITY|1923553|155762|10430||744864|229430|11500
MORGAN STANLEY|1200665|793380|14324||581969|643924|6450
THE BLACKSTONE GROUP|812688|1180408|1500||759850|1098848|0
LAS VEGAS SANDS CORPORATION|2436|1927800|0||0|234000|0
HARVARD UNIVERSITY|1741045|23289|19874||667642|44100|0
NORFOLK SOUTHERN CORPORATION|54450|20630|1610991||69106|28175|844334
ST. JUDE MEDICAL|1615630|14295|16194||6500|11200|14400
USPS|227850|139756|1274643||52496|41096|463577
ARIEL CORPORATION|0|1601697|0||0|299200|0
WELLS FARGO|970484|507775|30980||364334|420849|14500
RS, INC.|0|1500000|0||0|0|0
COLUMBIA UNIVERSITY|1432302|63775|3690||439445|31500|1000
PRITZKER GROUP|1439868|56700|0||25600|16100|0
PFIZER INC|188100|9043|1248590||10000|38400|548112
UP RAILROAD COMPANY|0|0|1351390||0|0|0
MORGAN & MORGAN|1248199|7750|2692||273928|4000|0
KIRKLAND & ELLIS LLP|728370|484452|11550||279552|305165|0
PODESTA GROUP|760668|455439|2200||758832|509211|500
FACEBOOK|1049942|136633|16050||267450|189900|2348
STEPHENS INC.|6000|1188800|0||1000|533200|0
IBM|919671|218747|43789||200644|98716|3895
ABBOTT|14572|27083|1138607||3250|36250|47860
CITADEL INVESTMENT GROUP|21600|1143500|0||14400|134650|0
